Date,Day,ibmY,rdcm,iif,epi,indl,smin,scif,inda,inco
means,day,132.86318378378377,12.745659459459459,20.23606081081081,24.540839189189192,68.72916959459458,39.11166756756757,43.71451891891892,32.75987297297298,43.19481486486486
stdevs,day,12.255026690930244,5.098763743338526,1.6733263571456292,1.3955201135716842,12.549850068236838,3.284906701217691,4.275118411578848,1.73791188140043,3.0544556692125093
2018-07-05,0,0.432118,0.0,0.315714,0.415023,0.351829,0.473731,0.564387,0.428697,0.789563
2018-07-06,1,0.515814,0.0,0.268357,0.35277,0.299055,0.402671,0.479729,0.364392,0.671129
2018-07-09,2,0.668062,0.036677,0.161775,0.138021,0.130839,0.201405,0.314646,0.178746,0.534929
2018-07-10,3,0.69357,0.040344,0.28204,0.160876,0.190868,0.225639,0.362492,0.232113,0.550257
2018-07-11,4,0.711905,0.15065,0.453342,0.367926,0.390067,0.460145,0.545684,0.417717,0.667702
2018-07-12,5,0.832272,0.196294,0.653351,0.523209,0.612589,0.602252,0.744364,0.611144,0.673226
2018-07-13,6,0.788429,0.142244,0.737772,0.532409,0.642301,0.529801,0.679877,0.614147,0.596288
2018-07-16,7,0.753357,0.06232,0.930862,0.642072,0.8228,0.586594,0.693751,0.773128,0.560167
2018-07-17,8,0.59632,0.226005,0.965294,0.608094,0.839499,0.454295,0.464096,0.774969,0.427384
2018-07-18,9,0.678425,0.227978,0.878499,0.397953,0.629578,0.024106,-0.034897,0.592447,0.155584
2018-07-19,10,1.054662,0.215882,0.819308,0.48191,0.712385,0.000781,-0.164942,0.679246,0.140309
2018-07-20,11,0.8243,0.359778,0.641644,0.425172,0.600645,-0.164411,-0.381042,0.561724,-0.023549
2018-07-23,12,0.772484,0.652407,0.285076,0.211242,0.326832,-0.497153,-0.686226,0.307696,-0.24715
2018-07-24,13,0.826691,0.861189,0.112907,0.174674,0.264808,-0.553393,-0.799311,0.269769,-0.377952
2018-07-25,14,0.845818,1.040168,-0.059239,0.135457,0.21952,-0.493818,-0.848811,0.23293,-0.437277
2018-07-26,15,0.852998,1.060468,-0.066668,0.24137,0.355673,-0.200014,-0.501938,0.34671,-0.38967
2018-07-27,16,0.728641,1.029241,0.128345,0.384159,0.520023,0.099208,-0.211176,0.491936,-0.292147
2018-07-30,17,0.755748,0.837157,0.30787,0.449801,0.59145,0.247598,0.043746,0.54098,-0.220097
2018-07-31,18,0.711105,0.507467,0.482305,0.59084,0.755239,0.473105,0.361791,0.676669,-0.0943
2018-08-01,19,0.59712,0.031464,0.591795,0.684568,0.877889,0.611468,0.55363,0.780272,0.059486
2018-08-02,20,0.554076,-0.150135,0.614581,0.845282,1.045084,0.758299,0.773871,0.904502,0.358227
2018-08-03,21,0.931913,-0.332966,0.602219,0.873946,1.085081,0.828732,0.849094,0.917611,0.505533
2018-08-06,22,0.798792,-0.387873,0.405112,0.771918,0.859896,0.815505,0.860804,0.72315,0.471939
2018-08-07,23,0.876907,-0.502796,0.347559,0.774775,0.86498,0.911264,0.97785,0.714883,0.51076
2018-08-08,24,0.867343,-0.585913,0.231132,0.677962,0.698314,0.885758,0.897583,0.565287,0.354152
2018-08-09,25,0.823027,-0.881439,-0.051223,0.540229,0.523374,0.792388,0.753326,0.410052,0.24563
2018-08-10,26,0.799657,-1.097193,-0.233498,0.459034,0.50134,0.701999,0.615027,0.390258,0.238824
2018-08-13,27,0.657046,-1.174897,-0.360421,0.339717,0.356336,0.586265,0.483819,0.261723,0.166365
2018-08-14,28,0.709416,-1.15646,-0.539162,0.039747,-0.011521,0.281264,0.136691,-0.040412,-0.040902
2018-08-15,29,0.753733,-1.220499,-0.765513,-0.430802,-0.58513,-0.12883,-0.296182,-0.521227,-0.38536
